address,rank,holding_eth,inr_value,dollar_val
0x2337918436302b406c9d0b775366184799d1df88,259,2850776.792711826,"₹6,16,10,41,78,887.29",8258244244.1993265
0xef5c8dfb7abaa3acd759d77fb156cea315eb69b8,261,2849297.8621822307,"₹6,15,78,45,55,379.10",8253960019.083974
0x38a4d889a1979133fbc1d58f970f0953e3715c26,261,2844292.686635408,"₹6,14,70,28,46,850.27",8239460826.352916
0x9cb8c1463471ee4d8dd6887035f4835a1745e92a,262,2841145.3715957673,"₹6,14,02,26,55,418.53",8230343558.253483
0xa1707c82aa2866955991c7f2c6f431d6619b8b4c,263,2835330.864589895,"₹6,12,76,60,35,793.44",8213499861.778592
0xbb7c4e59705a52ea30cef27568aed928479ae410,264,2812357.866344032,"₹6,07,80,11,57,358.54",8146950761.540046
0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,265,2798660.349429571,"₹6,04,84,08,77,398.02",8107271246.641559
0xd7277990f0afbdb26afcb0268377281443fee484,266,2788143.514866795,"₹6,02,56,80,00,145.98",8076805659.606727
0x8c0d2b62f133db265ec8554282ee60eca0fd5a9e,267,2778112.714501627,"₹6,00,40,01,63,632.66",8047748035.876893
0x93321b43d594aff66481261091b989afe4d8cb9f,269,2774579.5257035377,"₹5,99,63,65,77,936.00",8037512953.239037
0x80c939f8a66c59b37330f93f1002541fd4e51aa2,270,2772398.91437079,"₹5,99,16,53,08,575.99",8031196071.10588
0x222a50ddb9126d372eb5811a727581cb6dc31237,271,2759091.2678028625,"₹5,96,28,92,86,615.02",7992645948.222044
0x1254958bd5073c6b238e516298f0c48f6f60a78e,271,2751469.7672692514,"₹5,94,64,21,43,162.70",7970567680.616259
